costat,curcdq,datafmt,indfmt,consol,sic,datadate,gvkey,tic,atq,ceqq
I,USD,STD,BANK,C,6020,2000-01-31,016926,MFLR,155.0380,10.3460
I,USD,STD,BANK,C,6020,2000-03-31,001619,ASO.1,43680.4650,3009.1440
I,USD,STD,BANK,C,6020,2000-03-31,001998,ONE.1,273008.0000,20081.0000
A,USD,STD,BANK,C,6020,2000-03-31,002002,BPOP,25302.0250,1582.2930
A,USD,STD,BANK,C,6020,2000-03-31,002005,BOH,14250.3860,1225.9070
I,USD,STD,BANK,C,6020,2000-03-31,002007,FBA,1062.2880,75.1550
A,USD,STD,BANK,C,6020,2000-03-31,002019,BK,76041.0000,5223.0000
A,USD,STD,BANK,C,6020,2000-03-31,002620,0176A,33616.3630,3045.4740
I,USD,STD,BANK,C,6020,2000-03-31,002731,PVN,17308.9890,1509.7490
I,USD,STD,BANK,C,6020,2000-03-31,002849,BBVA1,18466.7780,1251.0980
A,USD,STD,BANK,C,6020,2000-03-31,002968,JPM,391484.0000,23045.0000
I,USD,STD,BANK,C,6020,2000-03-31,003066,3614B,400058.0000,27730.0000
I,USD,STD,BANK,C,6020,2000-03-31,003071,CRBC,7936.3050,643.7420
I,USD,STD,BANK,C,6020,2000-03-31,003082,CYN.1,8423.5050,647.4520
A,USD,STD,BANK,C,6020,2000-03-31,003231,CMA,39660.3140,3315.3380
A,USD,STD,BANK,C,6020,2000-03-31,003238,CBSH,11206.7200,1088.6780
A,USD,STD,BANK,C,6020,2000-03-31,003643,CFR,7019.3640,511.1130
A,USD,STD,BANK,C,6020,2000-03-31,004640,FITB,44388.7650,4152.0510
A,USD,STD,BANK,C,6020,2000-03-31,004674,RF,41418.4030,3140.7340
I,USD,STD,BANK,C,6020,2000-03-31,004678,FMER,10375.0880,840.6030
I,USD,STD,BANK,C,6020,2000-03-31,004682,USB.1,83072.0000,7745.0000
A,USD,STD,BANK,C,6020,2000-03-31,004685,TRMK,6741.2210,643.8810
A,USD,STD,BANK,C,6020,2000-03-31,004690,FCNCA,9880.7320,741.1360
A,USD,STD,BANK,C,6020,2000-03-31,004699,MTB,22761.5540,1832.2560
I,USD,STD,BANK,C,6020,2000-03-31,004708,BWE,17528.2870,1870.1190
I,USD,STD,BANK,C,6020,2000-03-31,004715,AIB1,17672.8060,1765.2080
A,USD,STD,BANK,C,6020,2000-03-31,004723,USB,73059.9230,6268.7050
I,USD,STD,BANK,C,6020,2000-03-31,004736,FSCO.1,23336.5820,1757.6970
A,USD,STD,BANK,C,6020,2000-03-31,004737,FHN,20071.5750,1261.3290
I,USD,STD,BANK,C,6020,2000-03-31,004739,WB.3,253648.0000,16884.0000
I,USD,STD,BANK,C,6020,2000-03-31,004742,FVB,9516.7100,1005.6060
I,USD,STD,BANK,C,6020,2000-03-31,004764,FBF,187814.0000,14387.0000
I,USD,STD,BANK,C,6020,2000-03-31,005417,HU,9318.4200,519.7110
I,USD,STD,BANK,C,6020,2000-03-31,005619,HIB,15741.7600,1300.6390
A,USD,STD,BANK,C,6020,2000-03-31,005786,HBAN,28407.9790,2098.8230
I,USD,STD,BANK,C,6020,2000-03-31,007067,MI.1,24921.3880,2076.5250
I,USD,STD,BANK,C,6020,2000-03-31,007238,MEL.3,47381.0000,3851.0000
I,USD,STD,BANK,C,6020,2000-03-31,007253,MRBK.1,8071.0320,985.4090
I,USD,STD,BANK,C,6020,2000-03-31,007562,JPM.Z,284562.0000,10929.0000
A,USD,STD,BANK,C,6020,2000-03-31,007647,BAC,656113.0000,45222.0000
