costat,curcdq,datafmt,indfmt,consol,sic,datadate,gvkey,tic,dlcq,dlttq
I,USD,STD,BANK,C,6020,2000-01-31,016926,MFLR,0.0000,24.8330
I,USD,STD,BANK,C,6020,2000-03-31,001619,ASO.1,4209.3220,7546.7610
I,USD,STD,BANK,C,6020,2000-03-31,001998,ONE.1,36712.0000,38753.0000
A,USD,STD,BANK,C,6020,2000-03-31,002002,BPOP,6593.4120,2240.1600
A,USD,STD,BANK,C,6020,2000-03-31,002005,BOH,2742.3570,805.7260
I,USD,STD,BANK,C,6020,2000-03-31,002007,FBA,13.1760,53.4330
A,USD,STD,BANK,C,6020,2000-03-31,002019,BK,1440.0000,9039.0000
A,USD,STD,BANK,C,6020,2000-03-31,002620,0176A,2679.1980,929.9500
I,USD,STD,BANK,C,6020,2000-03-31,002731,PVN,216.2810,1059.9510
I,USD,STD,BANK,C,6020,2000-03-31,002849,BBVA1,1166.1960,2465.1730
A,USD,STD,BANK,C,6020,2000-03-31,002968,JPM,77307.0000,23178.0000
I,USD,STD,BANK,C,6020,2000-03-31,003066,3614B,25882.0000,25901.0000
I,USD,STD,BANK,C,6020,2000-03-31,003071,CRBC,911.9060,197.5040
I,USD,STD,BANK,C,6020,2000-03-31,003082,CYN.1,1060.9530,253.5000
A,USD,STD,BANK,C,6020,2000-03-31,003231,CMA,3465.1020,8779.9430
A,USD,STD,BANK,C,6020,2000-03-31,003238,CBSH,892.5160,25.3720
A,USD,STD,BANK,C,6020,2000-03-31,003643,CFR,277.1550,98.5270
A,USD,STD,BANK,C,6020,2000-03-31,004640,FITB,7898.6200,2015.4860
A,USD,STD,BANK,C,6020,2000-03-31,004674,RF,3888.5890,2032.4110
I,USD,STD,BANK,C,6020,2000-03-31,004678,FMER,2175.9460,21.4500
I,USD,STD,BANK,C,6020,2000-03-31,004682,USB.1,3273.0000,18217.0000
A,USD,STD,BANK,C,6020,2000-03-31,004685,TRMK,2153.4580,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,004690,FCNCA,587.0870,154.9150
A,USD,STD,BANK,C,6020,2000-03-31,004699,MTB,3068.5470,1774.4560
I,USD,STD,BANK,C,6020,2000-03-31,004708,BWE,609.3010,1062.0410
I,USD,STD,BANK,C,6020,2000-03-31,004715,AIB1,2380.2410,1195.5480
A,USD,STD,BANK,C,6020,2000-03-31,004723,USB,9357.7550,4745.4500
I,USD,STD,BANK,C,6020,2000-03-31,004736,FSCO.1,4775.5630,2491.1770
A,USD,STD,BANK,C,6020,2000-03-31,004737,FHN,3972.5030,459.8570
I,USD,STD,BANK,C,6020,2000-03-31,004739,WB.3,49389.0000,33043.0000
I,USD,STD,BANK,C,6020,2000-03-31,004742,FVB,413.5930,1.9400
I,USD,STD,BANK,C,6020,2000-03-31,004764,FBF,18788.0000,26347.0000
I,USD,STD,BANK,C,6020,2000-03-31,005417,HU,2430.5270,257.3000
I,USD,STD,BANK,C,6020,2000-03-31,005619,HIB,1168.6510,844.6380
